,cnpj,raiz_cnpj,matriz_filial,razao_social,opcao_pelo_simples,capital_social
400,24232254000101,24232254,MATRIZ,BERGHAHN DESENVOLVIMENTO DE NEGOCIOS LTDA,SIM,20000
401,24353595000127,24353595,MATRIZ,EXITUS EMPRESARIAL CONSULTORIA EIRELI,SIM,90000
402,24362619000104,24362619,MATRIZ,CCS NEGOCIOS & ASSESSORIA EIRELI,SIM,88000
406,24608207000101,24608207,MATRIZ,MULTIPLA ARQUITETURA E GERENCIAMENTO DE SERVICOS LTDA,SIM,25000
408,24642661000189,24642661,MATRIZ,4SOLVE SOFTWARES LTDA,SIM,20000
409,24688226000195,24688226,MATRIZ,MV TECH SOLUCOES TECNOLOGICAS LTDA,SIM,10000
410,24762992000152,24762992,MATRIZ,DECOSTORE INFORMACAO E TECNOLOGIA LTDA.,SIM,100000
411,24980717000105,24980717,MATRIZ,R. A. DE ARAUJO ANTONIAZZI GEOPROCESSAMENTO E TOPOGRAFIA,SIM,6000
413,25245543000108,25245543,MATRIZ,UNI ENTERPRISE SOLUCOES INTELIGENTES EIRELI,SIM,110000
415,25275641000180,25275641,MATRIZ,PRISMATECH ASSESSORIA EM SISTEMAS DE INFORMATICA EIRELI,SIM,90000
416,25285557000147,25285557,MATRIZ,ROBOTIMIZE LTDA,SIM,88000
417,25327802000131,25327802,MATRIZ,MEYER CONSULTORIA EM TI LTDA.,SIM,5000
418,25341444000111,25341444,MATRIZ,CORE SOLUTIONS - AUTOMACAO TECNOLOGICA LTDA,SIM,13000
419,25420887000106,25420887,MATRIZ,APAPELME CONSULTORIA EM INFORMATICA LTDA,SIM,5000
420,25533119000150,25533119,MATRIZ,WARP TECNOLOGIA LTDA,SIM,25000
424,26181064000120,26181064,MATRIZ,MAPA SA - CONSULTORIA E ANALISES SOCIOAMBIENTAIS LTDA,SIM,10000
426,26225132000105,26225132,MATRIZ,INTERANET SOLUCOES EM TI LTDA,SIM,500000
428,26263353000178,26263353,MATRIZ,BM SISTEMAS DE ANALISE DE DADOS EIRELI,SIM,93700
429,26294369000148,26294369,MATRIZ,WYTECH SERVICOS DE TECNOLOGIA LTDA,SIM,5000
431,26468924000100,26468924,MATRIZ,X4 AUTOMACOES LTDA,SIM,10000
432,26469808000106,26469808,MATRIZ,INLINE TECNOLOGIA EIRELI,SIM,95400
434,26683997000115,26683997,MATRIZ,WAGNER FERNANDES DOS SANTOS,SIM,2000
435,26686159000103,26686159,MATRIZ,AD SOLUCOES DIGITAIS LTDA,SIM,50000
436,26756002000107,26756002,MATRIZ,ROMARIO ROSA DE ALMEIDA GESTAO EM SAUDE EIRELI,SIM,88000
437,26771369000191,26771369,MATRIZ,DHARMA DIGITAL - CONSULTORIA E ASSESSORIA DE GESTAO COMERCIAL LTDA.,SIM,10000
439,26960108000110,26960108,MATRIZ,OPENCONNECT SISTEMAS DE INFORMACAO E TECNOLOGIA LTDA,SIM,10000
441,27090363000111,27090363,MATRIZ,ZERO TI TECNOLOGIA DA INFORMACAO LTDA,SIM,101010
442,27100089000114,27100089,MATRIZ,DDS CONSULTORIA EM TECNOLOGIA DA INFORMACAO EIRELI,SIM,93700
443,27106994000181,27106994,MATRIZ,ANDREIA APARECIDA DE OLIVEIRA CORDEIRO EIRELI,SIM,93700
444,27112738000105,27112738,MATRIZ,PRADO TECNOLOGIA LTDA,SIM,5000
445,27299019000137,27299019,MATRIZ,ITA INFRA ESTRUTURA DE TELECOM EIRELI,SIM,100000
447,27438836000129,27438836,MATRIZ,GROWTH OFFICE LTDA,SIM,1000
448,27456547000152,27456547,MATRIZ,SEO EXPERTS CONSULTORIA EM TECNOLOGIA DA INFORMATICA EIRELI,SIM,93700
449,27481416000125,27481416,MATRIZ,WLAN REDES SEM FIO SERVICOS EM TECNOLOGIA LTDA,SIM,15000
451,27649569000139,27649569,MATRIZ,H. DE PAULA SOUZA JUNIOR - CONSULTORIA EM INFORMATICA,SIM,10000
453,27702054000155,27702054,MATRIZ,VIBE IT SOLUCOES EM TECNOLOGIA LTDA,SIM,1000
454,27770937000100,27770937,MATRIZ,GO SYSTEM TECNOLOGIA LTDA,SIM,1000
455,27908845000136,27908845,MATRIZ,THIAGO ADOLFO PREIS,SIM,5000
456,27982288000101,27982288,MATRIZ,I. RAMOS & SANTOS CONSULTORIA E ASSESSORIA LTDA,SIM,10000
459,28031071000170,28031071,MATRIZ,DESENVINFO SOLUCOES EM TECNOLOGIA LTDA,SIM,1000
460,28082914000168,28082914,MATRIZ,RAVAGLIO E SAAB TECNOLOGIA E GESTAO LTDA,SIM,10000
462,28232830000163,28232830,MATRIZ,RODRIGO ARDIGO CONSULTORIA,SIM,10000
463,28241746000106,28241746,MATRIZ,WITCRED CONSULTORIA EIRELI,SIM,95000
465,28336299000179,28336299,MATRIZ,PROGRES TECNOLOGIA LTDA,SIM,10000
466,28340957000104,28340957,MATRIZ,SS CONSULTORIA LTDA,SIM,10000
469,28396501000158,28396501,MATRIZ,DYCK & SANTOS LTDA,SIM,7500
471,28517714000190,28517714,MATRIZ,WTIT GESTAO E CONSULTORIA DE INFORMATICA LTDA,SIM,10000
473,28946642000105,28946642,MATRIZ,MCC TECNOLOGIA DA INFORMACAO LTDA,SIM,2000
474,29030375000186,29030375,MATRIZ,INDICE INFORMATICA EIRELI,SIM,95000
477,29116537000101,29116537,MATRIZ,BEXPO TRANSFORMACAO E INOVACAO LTDA,SIM,12000
478,29152144000145,29152144,MATRIZ,DANIELA CUNHA LIMA,SIM,10000
480,29230277000192,29230277,MATRIZ,INFOTECH ASSISTENCIA E SUPORTE EM TI LTDA,SIM,6000
482,29309746000163,29309746,MATRIZ,GO4 TECNOLOGIA DA INFORMACAO LTDA,SIM,960000
483,29432024000100,29432024,MATRIZ,ITRK TECNOLOGIA DA INFORMACAO LTDA,SIM,60000
484,29472136000186,29472136,MATRIZ,IT+ GESTAO E TECNOLOGIA - EIRELI,SIM,93700
485,29488065000100,29488065,MATRIZ,RCFO IT CONSULTING LTDA,SIM,2000
486,29496699000104,29496699,MATRIZ,IBTI INSTITUTO BADAZ - TECNOLOGIA & INOVACAO LTDA,SIM,1000
487,29636554000161,29636554,MATRIZ,GILGRID APLICATIVOS LTDA,SIM,96000
489,29667108000114,29667108,MATRIZ,ALEXANDRE DE LIMA MACHADO CONSULTORIA,SIM,1000
490,29723917000104,29723917,MATRIZ,MARCOS FABIANO MENDES DE SIQUEIRA,SIM,10000
491,29751722000160,29751722,MATRIZ,JADER E AMANDA SISTEMAS DE TECNOLOGIA DA INFORMACAO LTDA,SIM,5000
492,29753819000101,29753819,MATRIZ,JLV ENGENHARIA TECNOLOGIA E SOFTWARE LTDA,SIM,50000
493,29766130000111,29766130,MATRIZ,ARSS TECNOLOGIA DA INFORMACAO LTDA,SIM,1000
494,29814528000186,29814528,MATRIZ,P2P BUSINESS SOLUTIONS - EIRELI,SIM,100000
495,29826123000168,29826123,MATRIZ,REINALDO FREITAS DE CRISTO,SIM,5000
496,29829507000134,29829507,MATRIZ,DIEGO ZAGONEL DE CAMARGO MELLO,SIM,1000
497,29832432000140,29832432,MATRIZ,RAISEHANDS SOLUCOES ONLINE LTDA,SIM,100000
500,29915283000183,29915283,MATRIZ,L&L ASSESSORIA E CONSULTORIA EMPRESARIAL LTDA,SIM,1000
501,29920323000185,29920323,MATRIZ,TOLFO & KRABBE INFORMATICA LTDA,SIM,12000
503,30025695000127,30025695,MATRIZ,IMEDIATUM TECNOLOGIA LTDA,SIM,100000
504,30033125000189,30033125,MATRIZ,HC CONSULTORIA EM TECNOLOGIA LTDA,SIM,10000
505,30043931000138,30043931,MATRIZ,TAX PAYMENTS TECNOLOGIA EM MEIOS DE PAGAMENTOS EIRELI,SIM,100000
507,30120829000199,30120829,MATRIZ,FULL NINE DIGITAL CONSULTORIA LTDA,SIM,1000
510,30280646000130,30280646,MATRIZ,ANGOS STUDIO LTDA,SIM,30000
511,30281605000169,30281605,MATRIZ,RALTEC TECNOLOGIA DA INFORMACAO LTDA,SIM,30000
513,30310764000144,30310764,MATRIZ,INTELPRICE SOLUCOES DE PRECIFICACAO LTDA,SIM,300000
514,30339718000178,30339718,MATRIZ,NEXTHOP SOLUTIONS - CONSULTORIA EM TECNOLOGIA DA INFORMACAO EIRELI,SIM,150000
515,30351627000158,30351627,MATRIZ,RAFAEL DA LUZ VAZ - COMERCIO E CONSULTORIA TECNOLOGIA EIRELI,SIM,95400
516,30517691000166,30517691,MATRIZ,LUCIANO JOHNSON CONSULTORIA EM TI,SIM,10000
517,30537374000101,30537374,MATRIZ,ASTACKS SERVICOS DE TECNOLOGIA LTDA,SIM,1000
518,30568793000100,30568793,MATRIZ,DAVI EMILIO BUSANELLO FERREIRA CONSULTORIA EM TECNOLOGIA,SIM,1000
520,30607379000163,30607379,MATRIZ,MENDEL E ZAMBERLAN CONSULTORIA EM DESENVOLVIMENTO DE SOFTWARE LTDA,SIM,1000
521,30677270000100,30677270,MATRIZ,PAULIN DESIGN E DESENVOLVIMENTO DE SISTEMAS INTERFACES E EXPERIENCIA DO USUARIO LTDA,SIM,1000
522,30750260000145,30750260,MATRIZ,ADVBOX CONSULTORIA E TECNOLOGIA LTDA,SIM,104000
523,30816395000166,30816395,MATRIZ,WA SOLUTIONS CONSULTORIA EIRELI,SIM,95400
526,30935151000100,30935151,MATRIZ,EVERTON SCHIPFER,SIM,1000
527,30974259000102,30974259,MATRIZ,THIAGO BELIZARIO DA SILVA JIMENEZ CONSULTORIA E SERVICOS DE TI,SIM,1000
528,30975075000159,30975075,MATRIZ,PEDRO ERNESTO THEOBALD PRA,SIM,10000
529,31041904000199,31041904,MATRIZ,WILLIAM DE SOUZA ANALIO CONSULTORIA EM TI,SIM,1000
530,31079657000110,31079657,MATRIZ,HI-LAW CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,SIM,10000
532,31111152000195,31111152,MATRIZ,LF TECNOLOGIA E GESTAO DE PESSOAS LTDA,SIM,500
533,31137926000157,31137926,MATRIZ,LAMARQUES E CIA LTDA,SIM,100000
536,31233387000150,31233387,MATRIZ,WORKX IT SOLUCOES E SERVICOS EM TECNOLOGIA DA INFORMACAO LTDA,SIM,20000
542,31452043000131,31452043,MATRIZ,INTELCOMP TECNOLOGIA & GESTAO DE TI LTDA,SIM,25000
545,31615060000142,31615060,MATRIZ,VALDEMIR FERNANDES DE RAMOS,SIM,1000
546,31625732000109,31625732,MATRIZ,HOMEX TECNOLOGIA LTDA,SIM,50000
547,31627865000106,31627865,MATRIZ,CGBHOME CONSULTORIA E ASSESSORIA EMPRESARIAL - EIRELI,SIM,100000
548,31721284000139,31721284,MATRIZ,JUTAY MARCELO FARIAS DE MEDEIROS - KISHRON,SIM,10000
549,31764349000123,31764349,MATRIZ,C. K. SOLANO,SIM,10000
550,31881132000101,31881132,MATRIZ,DIOGO ROMEO SOLUCOES EM TECNOLOGIA E INOVACAO,SIM,30000
551,31974922000123,31974922,MATRIZ,TCHE SOLUTIONS CONSULTORIA EM TECNOLOGIA LTDA,SIM,5000
552,32089832000112,32089832,MATRIZ,THIAGO DE OLIVEIRA FELIX CONSULTORIA EM TI,SIM,1000
554,32161647000191,32161647,MATRIZ,FOBONE TECNOLOGIA DA INFORMACAO LTDA,SIM,2000
556,32214357000169,32214357,MATRIZ,DATABZNESS CONSULTORIA EM TI LTDA,SIM,10000
557,32244389000107,32244389,MATRIZ,R. REOLON - CONSULTORIA EM GESTAO,SIM,10000
558,32333203000196,32333203,MATRIZ,ALESSANDRO CARDOZO BUENO,SIM,1000
561,32416966000109,32416966,MATRIZ,C S I DE ALMEIDA TECNOLOGIA DA INFORMACAO,SIM,250000
562,32477752000134,32477752,MATRIZ,RAFAEL PADILHA DA SILVA & CIA LTDA,SIM,5000
564,32509849000181,32509849,MATRIZ,THIAGO AZEVEDO DE BASSI COMERCIO DE EQUIPAMENTOS DE INFORMATICA,SIM,1000
566,32568380000151,32568380,MATRIZ,UB CONSULTORIA EMPRESARIAL EIRELI,SIM,100000
567,32844773000140,32844773,MATRIZ,RMS CONSULTORIA LTDA,SIM,1000
568,32901739000160,32901739,MATRIZ,TOPSOLUTION SOLUCOES EM TECNOLOGIA EIRELI,SIM,99800
570,33041999000176,33041999,MATRIZ,NETPROJ CONSULTORIA E ASSESSORIA PARA TRANSFORMACAO DIGITAL INTELIGENTE LTDA,SIM,90000
571,33067005000190,33067005,MATRIZ,DALMIR CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,SIM,1100000
572,33079420000164,33079420,MATRIZ,LESSEN TECH CONSULTORIA E MARKETING LTDA,SIM,50000
575,33301348000178,33301348,MATRIZ,LINKMESH TECNOLOGIA DA INFORMACAO LTDA,SIM,100000
579,33454191000110,33454191,MATRIZ,JUAN FRANCO XAVIER DA SILVA,SIM,1000
580,33468050000157,33468050,MATRIZ,PRIVACY TOOLS CONSULTORIA EM TECNOLOGIA LTDA,SIM,6000
581,33639035000124,33639035,MATRIZ,MARIO HENRIQUE ROCHA AZZOLINI & CIA LTDA,SIM,100000
582,33665328000186,33665328,MATRIZ,LUAN RODRIGO PINTO KOTZ TECNOLOGIA DA INFORMACAO,SIM,1000
583,33736420000190,33736420,MATRIZ,E.NEVES CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA.,SIM,20000
584,33750232000116,33750232,MATRIZ,2MIT - PROJETOS E SERVICOS DE ENGENHARIA DE SOFTWARE E AUTOMACAO INDUSTRIAL IT & AT LTDA,SIM,20000
585,33759076000154,33759076,MATRIZ,LINCK TECHNOLOGY LTDA,SIM,1000
586,33808438000150,33808438,MATRIZ,METODO IT TREINAMENTOS E SERVICOS DE INFORMATICA LTDA,SIM,20000
587,33899321000129,33899321,MATRIZ,DOMINUS ASSESSORIA E CONSULTORIA EM TI LTDA,SIM,12000
591,34023303000141,34023303,MATRIZ,D R FABER CONSULTORIA E TECNOLOGIA DA INFORMACAO LTDA,SIM,30000
592,34026711000157,34026711,MATRIZ,FLOWDRIVE DESENVOLVIMENTO DE SOLUCOES PARA NEGOCIOS LTDA,SIM,99800
593,34093177000100,34093177,MATRIZ,PEDRO AUGUSTO D BRAZ TECNOOGIA DA INTFORMACAO,SIM,1000
594,34107090000136,34107090,MATRIZ,CUMERLATO DESENVOLVIMENTO DE SOFTWARE LTDA,SIM,1000
595,34121443000152,34121443,MATRIZ,COOGNICAO CONSULTORIA E TREINAMENTO LTDA,SIM,10000
596,34132808000144,34132808,MATRIZ,FLAVIO NONES PROCESSAMENTO DE DADOS EIRELI,SIM,100000
597,34269413000198,34269413,MATRIZ,ALFREDO SCHROEDER NETO CONSULTORIA EM TI,SIM,8000
598,34289648000141,34289648,MATRIZ,SAFE CLOUD CONSULTORIA EM TECNOLOGIA LTDA,SIM,120000
601,34553881000190,34553881,MATRIZ,M99 SISTEMAS E ENGENHARIA LTDA,SIM,49900
602,34554363000190,34554363,MATRIZ,ANELLO TECNOLOGIA LTDA,SIM,50000
603,34595403000142,34595403,MATRIZ,BUTIK INTELIGENCIA APLICADA LTDA,SIM,1000
604,34660346000138,34660346,MATRIZ,DATARUNK SOLUCOES EM TECNOLOGIA DA INFORMACAO LTDA,SIM,40000
605,34719768000131,34719768,MATRIZ,D-LOG TECNOLOGIA DA INFORMACAO EIRELI,SIM,110000
606,34758830000102,34758830,MATRIZ,DANILO CALVO ZENI - ZENI WEB CONSULTORIA EM TECNOLOGIA DA INFORMACAO,SIM,2000
607,34770395000123,34770395,MATRIZ,VFSOFT SOLUCOES EM TECNOLOGIA LTDA,SIM,5000
609,34829222000133,34829222,MATRIZ,SHERPA SOLUCOES EM SISTEMAS DE INFORMACAO LTDA,SIM,15000
611,34914613000156,34914613,MATRIZ,DJEISON ALBERTO KANITZ LTDA,SIM,40000
613,35054380000121,35054380,MATRIZ,OCTIS CONSULTORIA LTDA,SIM,9000
614,35063002000104,35063002,MATRIZ,D2SMART CONSULTORIA EM TECNOLOGIA LTDA,SIM,10000
615,35081130000180,35081130,MATRIZ,F11 TECNOLOGIA LTDA,SIM,1000
616,35118515000175,35118515,MATRIZ,PLYS SERVICOS DE TECNOLOGIA LTDA,SIM,15000
618,35143923000187,35143923,MATRIZ,HEIMDALL TECNOLOGIA DA INFORMACAO LTDA,SIM,2000
619,35259520000106,35259520,MATRIZ,JOINSAP CONSULTORIA LTDA,SIM,60000
620,35324257000183,35324257,MATRIZ,VANZETTO E CAMPOS CONSULTORIA EM SOFTWARE LTDA,SIM,58000
621,35333643000131,35333643,MATRIZ,GORDION CONSULTORIA EMPRESARIAL LTDA,SIM,3000
622,35362926000101,35362926,MATRIZ,ADAC TECNOLOGIA DE INFORMACAO LTDA,SIM,40000
623,35375291000187,35375291,MATRIZ,DARTHPOYO SERVICOS DE CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,SIM,1000
624,35417709000171,35417709,MATRIZ,BINSTORM CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,SIM,30000
625,35458529000138,35458529,MATRIZ,CST IT COMERCIO E SERVICOS LTDA,SIM,1000
626,35486795000174,35486795,MATRIZ,A2CORP CONSULTORIA E EVENTOS EIRELI,SIM,99800
627,35585732000175,35585732,MATRIZ,DEX IT SOLUCOES EM TECNOLOGIA DA INFORMACAO LTDA,SIM,30000
628,35587650000160,35587650,MATRIZ,MEXTECH CONSULTORIA TECNOLOGICA LTDA,SIM,10000
631,35679751000160,35679751,MATRIZ,ARTUR FELIPE WENDLING LTDA,SIM,20000
632,35749625000135,35749625,MATRIZ,CONCAT ALL - SERVICOS EM TECNOLOGIA DA INFORMACAO LTDA,SIM,10000
634,35829508000181,35829508,MATRIZ,INSTITUTO BRASILEIRO DE PROTECAO DE DADOS LTDA,SIM,3000
635,35898518000179,35898518,MATRIZ,SETTTLE TECNOLOGIA LTDA,SIM,1000
636,36005389000105,36005389,MATRIZ,VEIGA CONSULTORIA EM INFORMATICA LTDA,SIM,5000
637,36005539000180,36005539,MATRIZ,MAGNADATA PRESTACAO DE SERVICOS EM TECNOLOGIA DA INFORMACAO LTDA,SIM,10000
638,36058673000140,36058673,MATRIZ,JOAO GUILHERME CORREA HARGER,SIM,20000
640,36260526000158,36260526,MATRIZ,JOY SOLUCOES E TECNOLOGIA LTDA,SIM,50000
642,36348088000184,36348088,MATRIZ,REND - SERVICOS DE TECNOLOGIA DE INFORMACAO LTDA,SIM,10000
643,36353517000101,36353517,MATRIZ,ABRANTECK TI SOLUCOES EMPRESARIAIS LTDA,SIM,10000
644,36371866000156,36371866,MATRIZ,C RUIVO DA SLVA - TECNOLOGIA EM INFORMACAO E NEGOCIOS,SIM,5000
645,36381943000159,36381943,MATRIZ,AV ENGENHARIA E COMERCIO LTDA,SIM,5000
646,36421471000110,36421471,MATRIZ,MARCELO FRANTZ DESENVOLVIMENTO LTDA,SIM,1000
648,36474896000198,36474896,MATRIZ,JONAS TERTULIANO DOS SANTOS EIRELI,SIM,104500
650,36526329000138,36526329,MATRIZ,CXD CONSULTORIA E DESENVOLVIMENTO EM TECNOLOGIA DA INFORMACAO LTDA,SIM,10000
652,36568185000182,36568185,MATRIZ,MBL DESENVOLVIMENTO TECNOLOGICO LTDA,SIM,30000
656,36699438000157,36699438,MATRIZ,GIANO GESTAO DE RISCOS EM SEGURANCA DA INFORMACAO LTDA,SIM,1000
657,36716381000157,36716381,MATRIZ,NASTECH TECNOLOGIA DA INFORMACAO LTDA,SIM,5000
658,36718756000118,36718756,MATRIZ,ALCANCE CONSULTORIA DE MARKETING LTDA,SIM,30000
659,36730259000135,36730259,MATRIZ,RCUBE SERVICOS DE CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,SIM,1000
660,36734254000180,36734254,MATRIZ,COLLISION INTELLIGENCE LABS SERVICOS DE SEGURANCA DA INFORMACAO LTDA,SIM,1200
661,36806175000138,36806175,MATRIZ,SELLER CENTER SISTEMAS DE INTEGRACAO LTDA,SIM,1000
662,36820730000186,36820730,MATRIZ,SAFERA - ASSESSORIA E CONSULTORIA EM PROTECAO DE DADOS LTDA,SIM,100000
665,36949399000107,36949399,MATRIZ,GFISCHER CONSULTORIA E TECNOLOGIA EIRELI,SIM,104500
666,36958093000109,36958093,MATRIZ,"ACE CONSULTORIA E SERVICOS EM TECNOLOGIA DA INFORMACAO, MARKETING E NEGOCIOS DIGITAIS LTDA",SIM,2000
667,36969195000120,36969195,MATRIZ,J E SOLUCOES EM TECNOLOGIA LTDA,SIM,5000
669,37077182000109,37077182,MATRIZ,EMAILVERITAS TECNOLOGIA LTDA,SIM,20000
670,37177621000155,37177621,MATRIZ,E.S.T - SOLUCOES TECNOLOGICAS LTDA,SIM,30000
671,37178108000189,37178108,MATRIZ,LUCAS ELIAS FREIBERGER,SIM,2000
673,37229264000121,37229264,MATRIZ,PRUMO SERVICOS DE CONSULTORIA EM E-COMMERCE LTDA,SIM,10000
674,37531139000171,37531139,MATRIZ,PRESS START SERVICOS DE CONSULTORIA NA INTERNET LTDA,SIM,3500
675,37532711000117,37532711,MATRIZ,ALEXANDRE AUGUSTO DIAS RAMOS HUFFELL VIOLA,SIM,50000
677,37539604000110,37539604,MATRIZ,"HUBALFA+ CONSULTORIA EMPRESARIAL, ENGENHARIA, TECNOLOGIA E EDUCACAO LTDA",SIM,4990
